dataset_scope,group,alpha,n,median_normalized_mountain_objective,q1_normalized_mountain_objective,q3_normalized_mountain_objective,median_normalized_centroid_gain,q1_normalized_centroid_gain,q3_normalized_centroid_gain,median_base_pair_f1,q1_base_pair_f1,q3_base_pair_f1,median_normalized_squared_mountain_distance,q1_normalized_squared_mountain_distance,q3_normalized_squared_mountain_distance,median_predicted_pair_count,q1_predicted_pair_count,q3_predicted_pair_count,median_median_selected_pair_bpp,q1_median_selected_pair_bpp,q3_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,q1_fraction_selected_pair_bpp_below_0.01,q3_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,q1_hybrid_seconds,q3_hybrid_seconds,fraction_records_with_any_selected_pair_bpp_below_0.01
all,5S_rRNA,0.0029910269192422734,11302,0.00014150984634847297,9.035724179701828e-05,0.00022907375171039526,0.37416850712562144,0.20904140693735002,0.4737726480413007,0.6575342465753424,0.3728813559322034,0.8059701492537313,0.004558125439734524,0.0016109139627826679,0.015495548271641717,34.0,30.0,37.0,0.9012473908618452,0.7653062196326118,0.9646231060989551,0.0,0.0,0.04,0.0166134375,0.01458657525,0.01850828325,0.3489647849938064
all,5S_rRNA,0.009900990099009901,11302,0.00020401848510839704,0.00011463466170615703,0.0003922925452155605,0.384894335291283,0.24208732954622292,0.483217516456096,0.6865671641791045,0.39344262295081966,0.8169014084507042,0.004449255960015071,0.0017364025464011333,0.015959985443940478,34.0,31.0,37.0,0.9001885007483972,0.7641039954907431,0.9649088620203812,0.0,0.0,0.0,0.016623243,0.0146041265,0.01852356975,0.18686958060520262
all,5S_rRNA,0.029126213592233007,11302,0.0002862680705864888,0.0001526515594677178,0.0006626931296395986,0.38958765156108655,0.25950397963400484,0.483217516456096,0.7058823529411765,0.4067796610169492,0.8235294117647058,0.004335326763724692,0.0017840505877455548,0.016837741884929515,34.0,31.0,37.0,0.900063427052934,0.7616587433563116,0.9649088620203812,0.0,0.0,0.0,0.01661799,0.014589744,0.018514062749999997,0.07078393204742524
all,5S_rRNA,0.09090909090909091,11302,0.00043903244935682747,0.00018842903224407841,0.0011996028526721856,0.392979188802435,0.2701901893592739,0.483217516456096,0.7142857142857143,0.4126984126984127,0.8235294117647058,0.004517968067657519,0.0017983185721350537,0.018152242969497367,34.0,31.0,37.0,0.901069705462084,0.7664523752014474,0.9653304109243147,0.0,0.0,0.0,0.016613258,0.01458999775,0.01850673375,0.011148469297469474
all,5S_rRNA,0.23076923076923075,11302,0.000605075764408373,0.0002254764427531671,0.002058443155981166,0.39442114496339375,0.27600991566163546,0.483217516456096,0.7169811320754716,0.41935483870967744,0.8235294117647058,0.004933727189668169,0.0018765569145175465,0.019260269791381675,34.0,30.0,37.0,0.9041803285821066,0.7798619676899087,0.9654658175826586,0.0,0.0,0.0,0.0165850895,0.014572098,0.01847404225,0.0
all,5S_rRNA,0.5,11302,0.0008426751405332009,0.0002523491193066952,0.0031784237314449472,0.39524481888155505,0.27940461482196405,0.483217516456096,0.7142857142857143,0.4230769230769231,0.821917808219178,0.005634731526023168,0.0020301009938731842,0.020545789686642987,34.0,29.0,37.0,0.9105984656981428,0.7921916241328266,0.9668117281113333,0.0,0.0,0.0,0.016563593,0.0145794025,0.01846637075,0.0
all,5S_rRNA,0.75,11302,0.0009723614268940819,0.00028701745459727495,0.004054626414470041,0.39524481888155505,0.2806231824688228,0.483217516456096,0.7142857142857143,0.41827154549831486,0.8214285714285714,0.0061538868955889016,0.0020886362953811814,0.021837244827107347,34.0,29.0,37.0,0.9139471864315118,0.8011045669210132,0.9686298587812872,0.0,0.0,0.0,0.016544323,0.014571477999999999,0.018439868249999998,0.0
all,5S_rRNA,0.9090909090909091,11302,0.001016083012911228,0.0002953552335646113,0.00466662749456244,0.39524481888155505,0.28089528684406145,0.483217516456096,0.7123287671232876,0.417910447761194,0.8214285714285714,0.006461670409407309,0.0021222048141290415,0.02261779689575198,34.0,28.0,37.0,0.9139471864315118,0.8060436099739445,0.9694884601849841,0.0,0.0,0.0,0.016542105,0.01456936975,0.018414570249999998,0.0
all,5S_rRNA,1.0,11302,0.0010466788665822878,0.00029658190942918574,0.0050300745628069805,0.39524481888155505,0.28089528684406145,0.483217516456096,0.7123287671232876,0.41379310344827586,0.819672131147541,0.006719121858173785,0.0021395789589756077,0.023292970419415297,34.0,28.0,37.0,0.9153886944190419,0.8112510874686963,0.9700546055358641,0.0,0.0,0.0,0.016516115499999998,0.01457169725,0.01838835425,0.0
all,RNaseP,0.0,36,2.0983208533356584e-05,1.568678119513535e-05,2.3908315483143792e-05,0.19554524770352924,-0.03957241793689689,0.41489582670401165,0.5007808433107757,0.29457364341085274,0.61203125,0.007579674677853562,0.004866233445422641,0.014087896037801122,70.0,61.75,78.5,0.9453349696836799,0.3045733445597581,0.9854389528203519,0.2053508150248051,0.04383659818442427,0.45372596153846156,0.6268800255,0.409538115,0.925897785,1.0
all,RNaseP,9.999000099990002e-05,36,2.3737469354727203e-05,1.8882769582947827e-05,2.9853115352145503e-05,0.3211268044173553,0.10199131542810885,0.47642734700049255,0.5440932591942249,0.3899280575539569,0.6330532212885154,0.007551139912557103,0.004909322912110725,0.01408456683142099,70.0,61.75,80.0,0.9457553550949309,0.7309006939168841,0.9854205791819384,0.0784313725490196,0.016598360655737707,0.2584292763157895,0.630214265,0.4156059535,0.9703612589999999,0.9444444444444444
all,RNaseP,0.0002999100269919024,36,2.9806635658082048e-05,2.331475281401262e-05,3.702061893909513e-05,0.36525775192458343,0.15508617754595894,0.4878653535340909,0.5400326797385621,0.3990903484427999,0.660455486542443,0.007510883194530541,0.004988003126513365,0.014016249372120093,71.5,62.5,80.25,0.9457553550949309,0.7677563732068409,0.9854185112450254,0.02877846790890269,0.012701804368471036,0.16464646464646465,0.6342975105,0.41783494,0.95063079625,0.8055555555555556
all,RNaseP,0.0009990009990009992,36,4.2395568437557614e-05,2.9895836583508744e-05,5.184779376550247e-05,0.3825827148651718,0.21986387054868395,0.49894599913408877,0.5467625899280576,0.39809782608695654,0.6677215189873418,0.007528516884429168,0.005227043715896395,0.013745558439750089,72.5,66.25,81.25,0.9361643073745973,0.7566200334878995,0.9854001376066118,0.012347560975609757,0.0,0.07799389778794813,0.6468289460000001,0.413203448,0.9273513225,0.5833333333333334
all,RNaseP,0.0029910269192422734,36,5.4419234053105315e-05,4.002190733344515e-05,0.00011717938151281388,0.39377493946052533,0.22839939450155392,0.5038374609569174,0.5665826801045166,0.4041958041958042,0.6756719617435277,0.007444874853554908,0.005269108313117153,0.013766946980617149,73.5,66.5,81.5,0.9358451708364397,0.7567432452369229,0.9844990299226375,0.0,0.0,0.033424908424908424,0.670643358,0.42503701,0.934570065,0.4722222222222222
all,RNaseP,0.009900990099009901,36,0.00010257051684775005,6.922893476729846e-05,0.0002096601418314699,0.4012436997995581,0.234193834038545,0.5050965225448938,0.5751633986928104,0.45112781954887216,0.6687116564417177,0.007252524429265288,0.005357100159909855,0.015146525383945442,76.0,69.0,84.0,0.9353835178306407,0.7680488108578052,0.9834489732228863,0.0,0.0,0.002976190476190476,0.645475605,0.43477060825,0.920588263,0.25
all,RNaseP,0.029126213592233007,36,0.0001958371554257206,9.124138574585852e-05,0.00035394685120400296,0.40537010867087486,0.25076703075971324,0.5050965225448938,0.5751633986928104,0.4393939393939394,0.6761777983562912,0.006804048764552539,0.005199882106608086,0.01430198936250429,75.5,71.5,83.5,0.9353835178306407,0.7556697909642066,0.9834491171171758,0.0,0.0,0.0,0.6451675545,0.4422213895,0.9069916385,0.16666666666666666
all,RNaseP,0.09090909090909091,36,0.00047860749486542954,0.0001312819781823936,0.0007935542241011035,0.4081989714962263,0.2554266734664242,0.5086364447113647,0.5827814569536424,0.4671598625199095,0.6744871794871795,0.006582070600931237,0.005222936983500339,0.012080198561382486,74.5,69.75,82.25,0.9444109909369447,0.7565531460637496,0.9838551183402093,0.0,0.0,0.0,0.6285574705,0.45052558524999997,0.9031094282500001,0.08333333333333333
all,RNaseP,0.23076923076923075,36,0.0007489205117361128,0.00017920229664376532,0.0013606478057916472,0.41083401608293857,0.2564327013790251,0.5086364447113647,0.5827814569536424,0.46939722444847515,0.6774305555555555,0.007216537164493749,0.004661885515519577,0.012080198561382486,72.0,66.75,81.25,0.94604297589647,0.7626386355940882,0.9838551183402093,0.0,0.0,0.0,0.6613863870000001,0.4531790055,0.92288935375,0.05555555555555555
all,RNaseP,0.5,36,0.001169495817975492,0.0003183518053373317,0.0035145597530546802,0.41194412832695965,0.25971175486941517,0.5086364447113647,0.5827814569536424,0.4716632705043301,0.6774305555555555,0.007799835191947967,0.004696253102302537,0.01506295298686057,70.5,62.0,81.25,0.9466812489727852,0.7808575500249352,0.9846184411542038,0.0,0.0,0.0,0.6583098275,0.446025211,0.89731408175,0.0
all,RNaseP,0.75,36,0.0015497317617483737,0.0003284174945871481,0.004849671876071014,0.41199113696294803,0.260120543657279,0.5086364447113647,0.5827814569536424,0.4716632705043301,0.6774305555555555,0.007799835191947967,0.005255460965330612,0.015892715004256455,69.5,62.0,81.25,0.9467824978458788,0.7914943470052339,0.9854001376066118,0.0,0.0,0.0,0.664648122,0.44545440525,0.9152184520000001,0.0
all,RNaseP,0.9090909090909091,36,0.0015497317617483737,0.0003461797171066158,0.005476443066987626,0.41199113696294803,0.2603832863286595,0.5086364447113647,0.5827814569536424,0.4716632705043301,0.6774305555555555,0.007799835191947967,0.005466816655720873,0.014530730285392953,69.5,62.0,81.25,0.9467824978458788,0.7918070057916468,0.9854001376066118,0.0,0.0,0.0,0.6573797219999999,0.438687076,0.94471278925,0.0
all,RNaseP,1.0,36,0.0015497317617483737,0.0003461797171066158,0.005903921755549823,0.41199113696294803,0.2604252895587393,0.5086364447113647,0.5827814569536424,0.4716632705043301,0.6774305555555555,0.008556998881616746,0.005662498716799763,0.014530730285392953,69.5,61.0,81.25,0.9467824978458788,0.8003068655643032,0.9854001376066118,0.0,0.0,0.0,0.674727245,0.45574491300000003,0.92885346975,0.0
all,SRP,0.0,407,2.6743877214230848e-05,1.676497109409162e-05,8.483336560509177e-05,0.3276264573970975,0.08086977377665708,0.4678109549574667,0.5562130177514792,0.2540329427746646,0.6909090909090909,0.006489076659991038,0.0016201656528472986,0.034119993903988205,74.0,34.0,89.0,0.938467494229284,0.8150737603983356,0.9770616484803396,0.1,0.03260869565217391,0.27472527472527475,0.703552595,0.0105175375,1.0506109065,0.8304668304668305
all,SRP,9.999000099990002e-05,407,2.9952158541340355e-05,1.8532640755700317e-05,8.816319246803355e-05,0.3797354905604753,0.16865940472152396,0.5151551987649894,0.5806451612903226,0.2913601207319374,0.7311655096821337,0.006412426208165923,0.0016238578176385784,0.034041024822412,74.0,34.0,89.0,0.9396695452822798,0.8486655517109271,0.9770778065724478,0.047619047619047616,0.0,0.19782608695652176,0.690741296,0.0099166995,1.034342984,0.683046683046683
all,SRP,0.0002999100269919024,407,3.7588579369101746e-05,2.259711101204455e-05,8.961866955222408e-05,0.40849697337034196,0.20194002204667252,0.5233700126107116,0.5955056179775281,0.3042929292929293,0.7564760026298487,0.006412426208165923,0.0015827253723642997,0.034248538434203155,73.0,34.0,89.5,0.9399749144279623,0.8487072151821085,0.9770180123026406,0.012987012987012988,0.0,0.14084507042253522,0.6927404,0.0099730445,0.9964763065,0.6068796068796068
all,SRP,0.0009990009990009992,407,5.7203539513126294e-05,2.9179288780927915e-05,0.00013086327675835953,0.43818884848227563,0.2745519357479155,0.536517090640827,0.6162790697674418,0.32149068322981367,0.7777777777777778,0.006640878622442914,0.001592116586606897,0.03448000638518637,74.0,34.0,89.5,0.9399749144279623,0.8511767002925303,0.9769017205207178,0.0,0.0,0.040270270270270275,0.690809611,0.009870615,0.994691392,0.39803439803439805
all,SRP,0.0029910269192422734,407,7.906215953738303e-05,3.5899089539414237e-05,0.00018769998899935197,0.44252278941962386,0.3298521975478234,0.5381885088619083,0.6268656716417911,0.33519553072625696,0.7809728342723267,0.006508821855435401,0.0016056618929035575,0.03539619803320945,77.0,34.0,90.0,0.9404573517028005,0.851802266815767,0.976876238384855,0.0,0.0,0.0,0.693830616,0.00983774,0.9900055915,0.20884520884520885
all,SRP,0.009900990099009901,407,0.00011382562734841106,4.847048074472169e-05,0.000269237967533096,0.45406889948324713,0.35190966919874717,0.5425318449573306,0.631578947368421,0.3211111111111111,0.7868852459016393,0.006508821855435401,0.001629948998370051,0.03473168045806605,77.0,34.0,91.0,0.938467494229284,0.8537447935205766,0.9769017205207178,0.0,0.0,0.0,0.693631343,0.0099188825,0.9897357435,0.10073710073710074
all,SRP,0.029126213592233007,407,0.0001599609008010622,7.237517224499325e-05,0.00041905671612117837,0.45517911275666373,0.362728983608943,0.5443861842441406,0.6329113924050633,0.3240223463687151,0.7916610114281062,0.006822530037499043,0.0016463812016159472,0.03363761456892114,77.0,34.0,90.0,0.9424699377549298,0.8495712887628492,0.9770616484803396,0.0,0.0,0.0,0.700845666,0.009866929,0.9897568425000001,0.036855036855036855
all,SRP,0.09090909090909091,407,0.00027738575984672184,9.362797296633185e-05,0.0007187206547863098,0.45517911275666373,0.3697135916965012,0.5456420864446032,0.6408839779005525,0.3258426966292135,0.7959691339222257,0.006889716192041774,0.0019470534480401694,0.03330925069547358,76.0,34.0,90.5,0.941754616023942,0.8511678527604855,0.9767570020049103,0.0,0.0,0.0,0.703686899,0.009941852000000001,0.994363557,0.004914004914004914
