scope,family,alpha,n,median_normalized_mountain_objective,median_normalized_centroid_gain,median_base_pair_f1,median_normalized_squared_mountain_distance,median_predicted_pair_count,median_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,fraction_identical_to_alpha_0,fraction_identical_to_alpha_1
family,SRP,0.23076923076923075,407,0.0003985545140050931,0.45849892957477284,0.6408839779005525,0.007126990003702332,75.0,0.9423203604331777,0.0,0.692492755,0.04176904176904177,0.40786240786240785
family,group_I_intron,0.23076923076923075,83,0.0004674064904429163,0.38189893635511585,0.6503067484662577,0.004090329914294919,72.0,0.9199369322465645,0.0,0.590120437,0.0,0.4578313253012048
family,tRNA,0.23076923076923075,9234,0.0009988965571700536,0.42370930612253854,0.72,0.007439928492560072,22.0,0.9232322388802445,0.0,0.0027947709999999997,0.07862248213125406,0.5856616850768898
family,tmRNA,0.23076923076923075,10,0.0007382824808872098,0.33663155475313333,0.45170068027210886,0.017062377215994053,63.5,0.9051201445942608,0.0,0.6316465605,0.1,0.4
all,all_families,0.5,21254,0.0010324003178466207,0.40990315163761143,0.7169811320754716,0.006640432857845549,27.0,0.9172367777501449,0.0,0.013287337,0.03684012421191305,0.6766255763620965
family,16S_rRNA,0.5,182,0.0014065622926548076,0.3586241783413576,0.728435941460224,0.002385829670377106,74.0,0.8583446260757537,0.0,0.5635391665,0.0,0.532967032967033
family,5S_rRNA,0.5,11302,0.0008426751405332009,0.39524481888155505,0.7142857142857143,0.005634731526023168,34.0,0.9105984656981428,0.0,0.016563593,0.0059281543089718634,0.628207396920899
family,RNaseP,0.5,36,0.001169495817975492,0.41194412832695965,0.5827814569536424,0.007799835191947967,70.5,0.9466812489727852,0.0,0.6583098275,0.0,0.5833333333333334
family,SRP,0.5,407,0.0005214768507842921,0.4599770108570425,0.6405228758169934,0.008193417181147293,74.0,0.9457610067389502,0.0,0.696319596,0.036855036855036855,0.6314496314496314
family,group_I_intron,0.5,83,0.0005976271888848942,0.38198279398612933,0.6534653465346535,0.004084099432936642,71.0,0.9199369322465645,0.0,0.585196005,0.0,0.6626506024096386
family,tRNA,0.5,9234,0.0012620311181815785,0.4249088392890163,0.7272727272727273,0.007520246818357115,22.0,0.9257071217923154,0.0,0.0027913994999999997,0.07580680095299978,0.741282217890405
family,tmRNA,0.5,10,0.0019198967831364172,0.338043629627713,0.45718013232690335,0.014860994420143346,61.0,0.9062482802528518,0.0,0.625478729,0.1,0.6
all,all_families,0.75,21254,0.001134790554784757,0.4102015554857157,0.7169811320754716,0.0070311313585001865,27.0,0.9219626471936138,0.0,0.013278624,0.03641667450832784,0.822386374329538
family,16S_rRNA,0.75,182,0.0015682333929106615,0.3586241783413576,0.728435941460224,0.002289688333619682,74.0,0.8610779960026682,0.0,0.5629182685,0.0,0.6593406593406593
family,5S_rRNA,0.75,11302,0.0009723614268940819,0.39524481888155505,0.7142857142857143,0.0061538868955889016,34.0,0.9139471864315118,0.0,0.016544323,0.005839674393912582,0.7931339585913998
family,RNaseP,0.75,36,0.0015497317617483737,0.41199113696294803,0.5827814569536424,0.007799835191947967,69.5,0.9467824978458788,0.0,0.664648122,0.0,0.7222222222222222
family,SRP,0.75,407,0.0006376643130271605,0.4599770108570425,0.6358381502890174,0.008375072801397787,70.0,0.9460991277099366,0.0,0.694610079,0.0343980343980344,0.8132678132678133
family,group_I_intron,0.75,83,0.0006752001760715858,0.38214658424384573,0.6554621848739496,0.004642232653722309,71.0,0.9218084784417454,0.0,0.578276344,0.0,0.8674698795180723
family,tRNA,0.75,9234,0.0013959660394011828,0.4250482855947567,0.7272727272727273,0.007841624887517676,22.0,0.928461955395307,0.0,0.0027860305,0.07504873294346978,0.8620316222655404
