dataset_scope,group,alpha,endpoint_alpha,n,median_delta_base_pair_f1,q1_delta_base_pair_f1,q3_delta_base_pair_f1,fraction_higher_base_pair_f1,fraction_equal_base_pair_f1,median_delta_nmsmd,q1_delta_nmsmd,q3_delta_nmsmd,fraction_lower_nmsmd,fraction_equal_nmsmd,median_delta_normalized_mountain_objective,q1_delta_normalized_mountain_objective,q3_delta_normalized_mountain_objective,median_delta_normalized_centroid_gain,q1_delta_normalized_centroid_gain,q3_delta_normalized_centroid_gain,median_delta_fraction_selected_pair_bpp_below_0.01,q1_delta_fraction_selected_pair_bpp_below_0.01,q3_delta_fraction_selected_pair_bpp_below_0.01,fraction_identical_to_endpoint
all,all_families,0.75,0.0,21254,0.04825794541279621,0.0,0.1685071055598057,0.7257927919450456,0.09457043380069634,0.00048114363810627025,-0.0005198689645349664,0.003917135496082864,0.3465700574009598,0.03806342335560365,0.00100074786674918,0.0002086680585456542,0.004365418464816544,0.15827193993487365,0.06710436590411197,0.2625002785090653,-0.13636363636363635,-0.3103448275862069,-0.0297029702970297,0.03641667450832784
all,all_families,0.75,1.0,21254,0.0,0.0,0.0,0.0761268467112073,0.8267149712995201,0.0,0.0,0.0,0.126564411404912,0.822527524230733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822386374329538
all,all_families,0.9090909090909091,0.0,21254,0.048861283643892306,0.0,0.16579189910259517,0.7275336407264514,0.09198268561212007,0.0005245033416894783,-0.00047977490029242175,0.004243047725629523,0.340782911451962,0.038110473322668675,0.0010590074391170568,0.00021643393875187987,0.004984100873204274,0.15838899630289166,0.06710436590411197,0.26300848311715314,-0.13636363636363635,-0.3103448275862069,-0.029484566103669188,0.0363225745741978
all,all_families,0.9090909090909091,1.0,21254,0.0,0.0,0.0,0.03547567516702738,0.9215677049026065,0.0,0.0,0.0,0.059377058436059095,0.9199680060223958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9196857062200057
all,all_families,1.0,0.0,21254,0.04960497508138162,0.0,0.16402508121175494,0.7269219911546062,0.09043003669897431,0.0005697194131890049,-0.00044403658861490186,0.004389829723116766,0.33584266491013454,0.03787522348734356,0.0010873995016719186,0.00021861152060221537,0.0052850388658949345,0.15838899630289166,0.06710436590411197,0.26306223141325474,-0.13636363636363635,-0.3103448275862069,-0.029411764705882353,0.03627552460713278
all,all_families,1.0,1.0,21254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,16S_rRNA,0.0,0.0,182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,16S_rRNA,0.0,1.0,182,-0.16707279898420177,-0.2752179327521794,-0.07505331088664424,0.01098901098901099,0.005494505494505495,0.0004051996640973297,-0.0004999101784818113,0.0014678673594090298,0.41208791208791207,0.0,-0.0017411121720127087,-0.002456267647673376,-0.0004759653817993296,-0.23235558997457423,-0.2926540687201206,-0.1547772551275253,0.23705004389815626,0.1160655737704918,0.391304347826087,0.0
all,16S_rRNA,9.999000099990002e-05,0.0,182,0.07407407407407407,0.032728470561276424,0.09376665144249066,0.9065934065934066,0.07692307692307693,-9.300116702179234e-06,-4.3695006247733946e-05,2.9647907824133083e-05,0.5769230769230769,0.027472527472527472,3.239142852245931e-06,1.8299237965765622e-06,4.12794236980849e-06,0.10753573196782801,0.0748431012235028,0.1295113064982989,-0.09978703874791273,-0.1674237508111616,-0.061079545454545456,0.02197802197802198
all,16S_rRNA,9.999000099990002e-05,1.0,182,-0.08373869098290307,-0.18560606060606066,-0.027456289919016386,0.054945054945054944,0.02197802197802198,0.00046220753596275016,-0.0005026985592325212,0.001538340107293742,0.41208791208791207,0.0,-0.0017385938949496414,-0.0024551849330185435,-0.00047098065823874424,-0.11602701285019378,-0.17296544233309624,-0.056781350204985995,0.09933574879227053,0.039473684210526314,0.22388059701492538,0.0
